-119,0
-60,0.0048889
28,0.012289
105,0.018806
181,0.025208
267,0.032528
382,0.042461
502,0.05291
689,0.069348
841,0.082903
994,0.096767
1144,0.1105
1301,0.12508
1449,0.13907
1605,0.15393
1779,0.17076
1937,0.18632
2097,0.20236
2279,0.22083
2443,0.23782
2616,0.25594
2783,0.27382
2964,0.29356
3139,0.31304
3327,0.33423
3512,0.35559
3702,0.37807
3889,0.40063
4079,0.42408
4293,0.45112
4493,0.47697
4710,0.50582
4929,0.53575
5143,0.56602
5373,0.59937
5601,0.63365
5822,0.6679
6051,0.70456
6281,0.74284
6510,0.78224
6742,0.82384
6977,0.86765
7213,0.91364
7453,0.96238
7682,1.0111
7915,1.0631
8148,1.1177
8382,1.175
8609,1.2338
8838,1.2964
9061,1.3604
9272,1.4246
9477,1.4899
9677,1.5574
9879,1.629
10066,1.6985
10250,1.7709
10427,1.8434
10600,1.9176
10772,1.995
10934,2.0705
11091,2.1471
11250,2.2265
11413,2.3113
11570,2.3953
11719,2.4771
11869,2.5615
12025,2.6509
12187,2.7454
12341,2.8366
12502,2.9331
12660,3.0287
12821,3.126
12982,3.2242
13137,3.3196
13306,3.4231
13475,3.5263
13641,3.6281
13813,3.7331
13979,3.8349
14145,3.9358
14313,4.0381
14483,4.1416
14658,4.2485
14832,4.3545
15004,4.4595
15189,4.5724
15375,4.6865
15561,4.8015
15740,4.9125
15916,5.0222
16100,5.138
16285,5.2555
16467,5.3723
16644,5.4876
16824,5.6064
17002,5.7261
17184,5.8499
17357,5.9697
17529,6.091
17714,6.2244
17897,6.3595
18070,6.4902
18245,6.6253
18417,6.7616
18594,6.9058
18764,7.0483
18931,7.1925
19100,7.3418
19273,7.4994
19434,7.6506
19596,7.8065
19751,7.9601
19904,8.1152
20063,8.2789
20226,8.452
20381,8.6176
20527,8.7767
20688,8.9534
20845,9.1265
20996,9.2926
21145,9.4558
21293,9.6166
21441,9.7753
21589,9.9317
21744,10.092
21896,10.248
22050,10.4
22206,10.552
22371,10.707
22538,10.861
22710,11.015
22888,11.17
23068,11.324
23259,11.483
23455,11.642
23652,11.8
23845,11.954
24048,12.114
24265,12.286
24464,12.446
24663,12.611
24871,12.791
25062,12.972
25221,13.143
25353,13.316
25456,13.504
25502,13.689
